,LC_name,Autocor_length,Beyond1Std,CAR_sigma,CAR_mean,CAR_tau,Con,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK_AC,Amplitudes,amp1,amp_2_1_ratio,amp_3_1_ratio
32,exampledata_19.ascii,125.0,0.42280701754385963,10.0,117667.37648286665,0.5,0.0,-0.23430408170621242,39694.99995867839,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,1.0,-1.1972733490992156,0.09375096786956927,1.0,0.41213449999999874,13718.894404000002,0.006070987189096832,0.0044169051090358355
33,exampledata_24.ascii,125.0,0.4192982456140351,10.0,117667.37648286665,0.5,0.0,0.15456871176568937,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.04727549999999958,13391.254810999999,2.886704009967003e-05,1.6231748855328585e-05
34,exampledata_61.ascii,95.0,0.42316258351893093,10.0,117667.4127492294,0.5,0.0,-0.08690229176673231,inf,58833.7063746147,1.530132313985345e-06,0.07220999999844935,0.21380846325167038,0.9666666666666667,3.0989206191852665e-06,0.14490800000203308,0.42714487779005017,-0.20878081950506233,2.0,-1.0586512175756835,0.09002335527532354,0.9426435213147127,0.4091074999999993,11113.919875,0.0012575651410516029,0.0013079285551963118
35,exampledata_45.ascii,125.0,0.4052631578947368,10.0,117667.37648286665,0.5,0.0,-0.29250879814245034,222645.9997731166,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.08503900000000009,14123.452404,0.0001320434959662625,0.0001081106834335511
36,exampledata_4.ascii,124.0,0.4235500878734622,10.0,117667.37665682251,0.5,0.0,-0.38850751011992257,inf,58833.688328411255,1.5945002959804945e-06,0.08148899999650894,0.19859402460456943,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.4333695387154132,-0.0010326893012243819,0.0,-1.1988122591028614,0.09381033345327591,0.0,0.027823499999998447,12885.663894999998,3.930204863522962e-05,1.5929042595756962e-05
37,exampledata_8.ascii,125.0,0.4070175438596491,10.0,117667.37648286665,0.5,0.0,1.0356135333246757,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.1573670000000007,13715.758811,0.0010918038588481052,0.001119106656476105
38,exampledata_31.ascii,125.0,0.4165202108963093,10.0,117667.37649675572,0.5,0.0,-0.16020002364864747,inf,58833.68824837786,1.5948884090403988e-06,0.08148899999650894,0.1968365553602812,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.43369129559839226,0.0012677828366437678,1.0,-1.2004417400812561,0.09383316744843417,1.0,0.20646050000000038,13806.368594999996,0.003825983786273428,0.0003044854340724026
39,exampledata_49.ascii,125.0,0.4105263157894737,10.0,117667.37648286665,0.5,0.0,-0.15444081846085259,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.05587099999999978,13910.052225,7.102585858385365e-05,5.405186144559522e-05
40,exampledata_28.ascii,125.0,0.4077328646748682,10.0,117667.37649873112,0.5,0.0,1.1517218548355137,123207.00031525361,58833.68824936556,1.59488765044581e-06,0.08148899999650894,0.1968365553602812,0.9666666666666667,2.7532525085992187e-06,0.16262199999619043,0.4336862295737431,0.0012362709031073986,0.0,-1.2004383434717503,0.0938331228190919,0.0,0.12682549999999893,13654.849385999996,0.0015073932987627067,0.0006566716050050321
41,exampledata_50.ascii,125.0,0.40350877192982454,10.0,117667.37648286665,0.5,0.0,-0.35948883844911533,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,0.0,0.09653199999999984,14239.877225,0.00016221040718585066,0.0001847854868927909
42,exampledata_15.ascii,124.0,0.4147627416520211,10.0,117667.37606738841,0.5,0.0,0.48891121489463124,inf,58833.688033694205,1.5926614326012306e-06,0.08113999999477528,0.19859402460456943,0.9666666666666667,2.7623629619212803e-06,0.16205999999510823,0.4332243817276114,0.0046189765934020344,0.0,-1.1947599872975814,0.0937021458689573,0.0,0.1200285000000001,13342.974389999996,0.0004537789151134121,0.0009028062395675193
43,exampledata_52.ascii,123.0,0.4142857142857143,10.0,117667.37836535,0.5,0.0,0.42327843623572803,163667.99982553333,58833.689182675,1.5944371432579771e-06,0.08131100000173319,0.19642857142857142,0.9666666666666667,2.77737127625151e-06,0.16234225000516744,0.4338163312783064,-0.007941306757414706,0.0,-1.2001475885472892,0.09380661930775208,0.0,0.09575449999999996,13753.782694999998,0.0002141610642796985,0.0001467606196207476
44,exampledata_17.ascii,124.0,0.4119718309859155,10.0,117667.37686890845,0.5,0.0,0.6400022729604623,inf,58833.68843445423,1.5939615973149711e-06,0.08131099999809521,0.19718309859154928,0.9666666666666667,2.7575272837000535e-06,0.16234200000326382,0.43351542224993334,-0.0009575372229321594,0.0,-1.1978596594423097,0.093778639992914,0.0,0.0877075000000005,13706.144523,0.00028469004224899904,0.0004695949368212528
45,exampledata_33.ascii,125.0,0.41228070175438597,10.0,117667.37648286665,0.5,0.0,-0.023588554373145082,inf,58833.68824143332,1.5934912576761697e-06,0.08131099999809521,0.19824561403508772,0.9666666666666667,2.7575272837000535e-06,0.1623407499937457,0.43334705836919707,0.001490981310478565,0.0,-1.1972733490992156,0.09375096786956927,1.0,0.1481899999999996,13745.826810999999,0.00041484790933896706,0.0011433590798284614
